City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Kiryat Gat,IL,31.61,34.7642,284.48,68,0,2.1,clear sky
290,Pointe Michel,DM,15.25,-61.3833,298.66,72,10,5.14,clear sky
291,Klaksvík,FO,62.2266,-6.589,277.66,88,100,10.57,light rain
292,General Pico,AR,-35.6566,-63.7568,300.06,45,100,9.33,moderate rain
293,Banda Aceh,ID,5.5577,95.3222,297.11,78,43,1.44,scattered clouds
294,Meadow Lake,US,34.8014,-106.5436,286.19,23,92,2.25,overcast clouds
295,Muros,ES,42.7762,-9.0603,287.64,93,100,5.65,overcast clouds
296,Lavrentiya,RU,65.5833,-171.0,248.51,93,20,3.72,few clouds
297,Safi,MA,32.2994,-9.2372,287.9,89,5,6.2,clear sky
298,Acapulco de Juárez,MX,16.8634,-99.8901,301.05,65,0,2.57,clear sky
299,Bukavu,CD,-2.5083,28.8608,289.37,97,100,1.0,light rain
300,Harper,LR,4.375,-7.7169,299.22,83,4,3.25,clear sky
301,Dhanwār,IN,24.4167,85.9833,282.2,44,0,1.85,clear sky
302,Baykit,RU,61.67,96.37,237.1,100,100,0.88,overcast clouds
303,Playas,EC,-2.6333,-80.3833,296.79,77,54,5.49,broken clouds
304,Monterey,US,36.2505,-121.2516,284.91,1,33,2.47,scattered clouds
305,Ahipara,NZ,-35.1667,173.1667,292.87,79,81,8.8,broken clouds
306,Codrington,AU,-38.2667,141.9667,297.46,48,1,2.39,clear sky
307,Airai,TL,-8.9266,125.4092,292.66,76,39,0.5,scattered clouds
308,Beidao,CN,34.5686,105.8933,279.32,77,89,1.3,overcast clouds
309,Quibdó,CO,5.6947,-76.6611,297.34,100,75,2.06,broken clouds
310,Saint-Pierre,RE,-21.3393,55.4781,296.99,78,0,2.57,clear sky
311,Paracatu,BR,-17.2222,-46.8747,293.93,89,75,0.75,broken clouds
312,Patacamaya,BO,-17.2333,-67.9167,283.93,68,39,4.47,scattered clouds
313,Lauro Muller,BR,-28.3928,-49.3967,293.4,99,98,0.93,moderate rain
314,Tateyama,JP,34.9833,139.8667,280.98,56,69,3.13,broken clouds
315,Sur,OM,22.5667,59.5289,296.2,60,0,2.79,clear sky
316,Okhotsk,RU,59.3833,143.3,240.91,80,5,2.99,clear sky
317,Rondonópolis,BR,-16.4708,-54.6356,295.96,97,100,2.51,overcast clouds
318,Douglas,US,41.3,-96.167,279.14,73,0,2.57,clear sky
319,Flin Flon,CA,54.7682,-101.865,262.06,92,100,1.54,light snow
320,Fairbanks,US,64.8378,-147.7164,255.13,71,40,3.09,scattered clouds
321,Qaqortoq,GL,60.7167,-46.0333,265.47,71,100,3.08,overcast clouds
322,Kichmengskiy Gorodok,RU,59.9816,45.7854,258.45,75,93,5.83,light snow
323,Palencia,ES,42.4167,-4.5,281.99,91,75,6.3,broken clouds
324,Al Bardīyah,LY,31.7561,25.0865,287.21,54,43,8.35,scattered clouds
325,Havøysund,NO,70.9963,24.6622,271.28,83,100,3.86,overcast clouds
326,Nerchinskiy Zavod,RU,51.3088,119.61,250.56,100,76,1.22,broken clouds
327,Tevaitoa,PF,-16.7833,-151.5,299.37,78,100,4.42,moderate rain
328,Yārāda,IN,17.65,83.2667,288.33,100,0,1.03,mist
329,Esna,EG,25.2934,32.554,286.11,55,0,1.83,clear sky
330,Jega,NG,12.2175,4.3792,293.75,22,73,5.34,broken clouds
331,Tehachapi,US,35.1322,-118.449,281.11,78,88,6.71,overcast clouds
332,Kahului,US,20.8947,-156.47,300.16,66,20,4.63,few clouds
333,Ribeirão Bonito,BR,-22.0667,-48.1761,293.38,97,100,1.95,overcast clouds
334,Opuwo,NA,-18.0607,13.84,294.81,40,83,3.1,broken clouds
335,Gizo Government Station,SB,-8.103,156.8419,301.93,73,99,2.93,overcast clouds
336,Tiksi,RU,71.6872,128.8694,234.01,100,99,1.48,overcast clouds
337,Garden City,US,42.3256,-83.331,276.59,77,100,2.06,overcast clouds
338,Norman Wells,CA,65.282,-126.8329,257.17,85,100,2.06,light snow
339,Muncie,US,40.1934,-85.3864,277.99,83,0,3.09,clear sky
340,Dayong,CN,25.0209,118.2898,289.07,85,100,0.95,overcast clouds
341,Altamont,US,42.2068,-121.7372,278.37,73,0,3.58,clear sky
342,Béboto,TD,8.2668,16.939,293.63,21,83,2.44,broken clouds
343,Kibaya,TZ,-5.3,36.5667,287.6,97,97,0.84,light rain
344,Ojuelos de Jalisco,MX,21.8667,-101.5833,290.69,26,56,3.16,broken clouds
345,Starosubkhangulovo,RU,53.1031,57.4423,242.53,100,57,0.57,broken clouds
